IBIS Report Name,NAICS Code
3D Printer Manufacturing in the US,333999
3D Printing & Rapid Prototyping Services in the US,323111
Abrasive & Sandpaper Manufacturing in the US,327910
Acai Bowl Shops in the US,722515
Accommodation and Food Services in the US,72
Accounting Services in the US,541211
Acne Treatment Manufacturing OTC in the US,325412
Acoustic & Electric Guitar Manufacturing in the US,339992
Activated Carbon Manufacturing in the US,325998
Acupuncturists in the US,621399
AD&D Insurance,524210
ADHD Medication Manufacturing,325412
Adhesive Manufacturing in the US,325520
AdhesiveTape Manufacturing in the US,322220
Adjustable Bed & Mattress Manufacturing in the US,337910
Adoption & ChildWelfare Services in the US,624110
Adult & PornographicWebsites in the US,519130
Adult Day Care in the US,624120
Adult Diaper Manufacturing in the US,322291
Adult Stores in the US,453210
Advertising Agencies in the US,541810
Aerial Work Platform Manufacturing,333120
Aerospace Engineering Services in the US,541330
Aestheticians in the US,812199
After-School Program Providers in the US,624110
Agribusiness in the US,11
Agricultural Banks in the US,522110
Agricultural Insurance,524210
"Agriculture, Forestry, Fishing and Hunting in the US",11
Air & Gas Compressor Manufacturing in the US,333912
Air Ambulance Services in the US,621910
Air Duct Cleaning Services in the US,561790
Air Gun & Airsoft Gun Manufacturing,332994
Air Purification Equipment Manufacturing in the US,333413
"Aircraft Maintenance, Repair & Overhaul in the US",488190
Aircraft Parts Distributors in the US,423860
"Aircraft, Engine & Parts Manufacturing in the US",336411
"Aircraft, Marine & Railroad Transportation Equipment Wholesaling in the US",423860
Airline Catering Services in the US,488190
Airport Operations in the US,488119
Airport Shuttle Operators,485999
Airport Terminal Construction,236220
"Alarm, Horn & Traffic Control Equipment Manufacturing in the US",334290
Allergists,621111
Allergy Medicine Manufacturing OTC,325412
Alternative Healthcare Providers in the US,621399
Aluminum Manufacturing in the US,331313
Ambulance Manufacturing in the US,336211
Ambulance Services in the US,621910
Ambulatory Surgery Centers in the US,621493
Amusement Parks in the US,713110
Anesthesiologists in the US,621111
Animal Food Production in the US,311111
Animal Health Biotechnology in the US,541714
Animal Shelters in the US,812910
Animal-Assisted Therapy in the US,621399
Antique Stores in the US,453310
Antiseptic Manufacturing,325412
Apartment & Condominium Construction in the US,236116
Apartment Rental in the US,531110
Apparel Knitting Mills in the US,315110
Appliance Repair in the US,811412
"Arcade, Food & Entertainment Complexes in the US",713120
Architects in the US,541310
Armored Transportation Services in the US,561613
Armored Vehicle Manufacturing,336992
Art & Office Supply Manufacturing in the US,339940
Art Classes in the US,611610
Art Dealers in the US,453920
Art Restoration Services in the US,711510
Art Supply Stores in the US,453998
Artificial Grass Turf Installation,238990
"Arts, Entertainment and Recreation in the US",71
Asphalt Manufacturing in the US,324121
Assisted Living Facilities in the US,623312
Athleisure Clothing Manufacturing in the US,315220
Athletic & Sporting Goods Manufacturing in the US,339920
Athletic Event Organizers in the US,711320
Athletic Shoe Stores in the US,448210
ATM Manufacturing in the US,333318
